City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nikolayevsk-on-amure,53.1406,140.73,-5.33,84,100,4.27,RU,1699931144
1,ust-nera,64.5667,143.2,-27.78,97,55,2.3,RU,1699931145
2,invercargill,-46.4,168.35,11.68,89,85,6.26,NZ,1699931145
3,anadyr,64.75,177.4833,-13.72,71,7,12.0,RU,1699931146
4,puerto ayora,-0.7393,-90.3518,23.08,99,90,4.02,EC,1699931147
5,adamstown,-25.066,-130.1015,23.01,85,100,8.28,PN,1699931148
6,sooke,48.3746,-123.7276,8.76,79,2,2.57,CA,1699931148
7,bulgan,48.8125,103.5347,-6.32,66,75,0.66,MN,1699931149
8,ancud,-41.8697,-73.8203,6.06,71,33,3.7,CL,1699931150
9,as sulayyil,20.4607,45.5779,19.14,47,30,3.05,SA,1699931151
10,dunda,-8.1167,34.25,20.61,81,99,0.56,TZ,1699931151
11,birobidzhan,48.8,132.95,-6.21,74,7,1.18,RU,1699931152
12,revda,56.801,59.9303,2.38,96,100,4.85,RU,1699931152
13,waitangi,-43.9535,-176.5597,13.31,89,4,9.38,NZ,1699931153
14,yellowknife,62.456,-114.3525,-3.71,93,100,5.66,CA,1699931154
15,ulladulla,-35.35,150.4667,20.2,68,96,3.67,AU,1699931154
16,albany,42.6001,-73.9662,0.96,85,75,0.76,US,1699931155
17,odemira,37.598,-8.6397,15.65,85,3,1.0,PT,1699931155
18,puerto natales,-51.7236,-72.4875,1.71,77,84,5.7,CL,1699931156
19,west island,-12.1568,96.8225,27.99,74,75,5.14,CC,1699931157
20,port mathurin,-19.6833,63.4167,25.32,77,1,2.73,MU,1699931157
21,malangali,-8.5667,34.85,17.5,90,53,2.83,TZ,1699931158
22,olonkinbyen,70.9221,-8.7187,-1.44,74,98,3.45,SJ,1699931159
23,abnub,27.2696,31.1511,20.12,76,0,3.92,EG,1699931159
24,fortuna,40.5982,-124.1573,13.32,95,100,0.0,US,1699931160
25,santa maria da vitoria,-13.3947,-44.1886,25.89,33,0,1.69,BR,1699931161
26,san patricio,28.017,-97.5169,17.69,88,100,5.51,US,1699931161
27,flying fish cove,-10.4217,105.6791,27.82,74,100,5.14,CX,1699931162
28,edinburgh of the seven seas,-37.0676,-12.3116,13.46,77,12,11.23,SH,1699931163
29,port-aux-francais,-49.35,70.2167,6.53,97,100,15.17,TF,1699931164
30,kingston,17.997,-76.7936,28.53,79,20,1.54,JM,1699931165
31,banda aceh,5.5577,95.3222,27.38,81,100,4.07,ID,1699931166
32,mar del plata,-38.0023,-57.5575,15.05,55,0,5.81,AR,1699931035
33,jamestown,42.097,-79.2353,7.23,73,20,6.17,US,1699930928
34,porto novo,6.4965,2.6036,25.86,87,5,0.97,BJ,1699931169
35,lorengau,-2.0226,147.2712,27.79,81,98,3.03,PG,1699931170
36,whitehorse,60.7161,-135.0538,-4.57,85,100,2.06,CA,1699931171
37,nouadhibou,20.931,-17.0347,21.99,40,12,5.14,MR,1699931172
38,ushuaia,-54.8,-68.3,0.81,80,20,3.09,AR,1699931173
39,okhotsk,59.3833,143.3,-14.14,77,90,6.71,RU,1699931174
40,thompson,55.7435,-97.8558,-1.91,86,75,1.54,CA,1699931174
41,lashio,22.9333,97.75,21.83,81,74,0.73,MM,1699931176
42,port elizabeth,-33.918,25.5701,16.16,84,100,3.09,ZA,1699931177
43,vilyuysk,63.7553,121.6247,-12.08,94,100,2.24,RU,1699931178
44,bredasdorp,-34.5322,20.0403,14.83,79,16,7.99,ZA,1699931179
45,dedougou,12.4667,-3.4667,24.32,18,1,3.6,BF,1699931180
46,grytviken,-54.2811,-36.5092,1.89,98,100,3.21,GS,1699931181
47,snihurivka,47.0758,32.8052,4.92,79,1,1.83,UA,1699931182
48,shache,38.4167,77.2406,7.76,26,67,0.98,CN,1699931183
49,onguday,50.75,86.15,-3.51,91,100,0.86,RU,1699931184
50,iqaluit,63.7506,-68.5145,-17.95,64,0,2.57,CA,1699931185
51,baragua,21.6967,-78.6328,23.83,94,2,4.17,CU,1699931186
52,coquimbo,-29.9533,-71.3436,14.85,77,0,0.51,CL,1699930851
53,bethel,41.3712,-73.414,4.41,84,0,2.06,US,1699931188
54,isafjordur,66.0755,-23.124,1.54,86,42,2.82,IS,1699931188
55,sannicandro garganico,41.8384,15.5654,15.14,79,99,2.59,IT,1699931189
56,vila franca do campo,37.7167,-25.4333,17.23,99,83,2.6,PT,1699931191
57,nemuro,43.3236,145.575,5.22,53,13,9.49,JP,1699931136
58,kapa'a,22.0752,-159.319,27.99,80,40,7.2,US,1699931192
59,hamilton,39.1834,-84.5333,10.43,55,0,0.0,US,1699930962
60,guerrero negro,27.9769,-114.0611,20.08,60,100,4.49,MX,1699931194
61,sao joao da barra,-21.6403,-41.0511,23.54,92,73,2.48,BR,1699931195
62,fale old settlement,-9.3852,-171.2468,26.17,86,100,0.39,TK,1699931195
63,talnakh,69.4865,88.3972,-20.83,98,42,3.4,RU,1699931196
64,blackmans bay,-43.0167,147.3167,16.96,49,13,5.39,AU,1699931197
65,kuanda,56.3161,116.0806,-10.69,69,56,0.62,RU,1699931198
66,happy valley-goose bay,53.3168,-60.3315,-4.83,68,75,4.63,CA,1699931199
67,sinabang,2.4803,96.3801,24.92,89,100,0.85,ID,1699931200
68,lingyuan,41.24,119.4011,4.34,30,95,1.0,CN,1699931132
69,tazovsky,67.4667,78.7,-20.03,100,39,3.15,RU,1699931202
70,hithadhoo,-0.6,73.0833,27.38,80,46,4.42,MV,1699931202
71,ola,59.5833,151.2833,-16.59,72,64,5.07,RU,1699931203
72,howard springs,-12.497,131.047,33.26,58,34,3.01,AU,1699931204
73,amga,60.8953,131.9608,-18.72,95,98,1.06,RU,1699931205
74,mazagao,-0.115,-51.2894,28.03,82,100,1.96,BR,1699931205
75,st. john's,47.5649,-52.7093,-0.34,82,100,2.57,CA,1699931012
